"DecYear","Month","Conc","Q"
1990.19589041096,3,8.8,322.812048602922
1991.17123287671,3,5.5,767.386536591156
1991.29726027397,4,11,866.495498881527
1992.16803278689,3,7.2,362.45563351907
1993.20410958904,3,2.6,438.911118714499
1994.18767123288,3,3.7,656.950835753315
1996.19808743169,3,3.7,148.097106508183
1996.26912568306,4,1.7,223.703086312551
1997.01780821918,1,6.9,195.386239943874
1997.09726027397,2,3.6,152.910970390858
1997.1904109589,3,3.1,515.366603909928
1997.21506849315,3,3.2,781.544959775495
1997.23424657534,3,3.68,620.138935474034
1997.24520547945,3,4.3,676.772628211389
1997.27260273973,4,3.7,362.45563351907
1997.28904109589,4,6.8,362.45563351907
1997.30821917808,4,6.32,305.821940781715
1997.32739726027,4,4.28,230.78229790472
1998.01232876712,1,7.06,187.174354496957
1998.1301369863,2,6.65,195.952576871247
1998.18493150685,3,8.8,444.574487988234
1998.24246575342,3,9.86,453.069541898838
1998.25616438356,4,10.4,1217.62439385313
1999.03424657534,1,6.75,113.267385474709
1999.10821917808,2,5.89,259.948649664458
1999.16575342466,3,7.02,258.815975809711
1999.26438356164,4,4.46,244.940721089059
2000.08606557377,2,4.73,33.9802156424128
2000.25546448087,4,1.87,82.6851913965379
2001.0095890411,1,4.54,50.9703234636192
2001.08630136986,2,4.49,84.9505391060321
2001.16575342466,3,4.8,336.970471787261
2001.25068493151,4,7.5,654.119151116447
2002.02328767123,1,5.93,73.0574636311876
2002.11917808219,2,4.89,91.1802453071411
2002.27260273973,4,5.22,229.0832871226
2003.02054794521,1,4.74,73.0574636311876
2003.09726027397,2,4.54,58.3327035194754
2003.2698630137,4,2.95,89.7644029887072
2004.02049180328,1,6.41,43.0416064803896
2004.11338797814,2,4.21,53.2356711731134
2004.26639344262,4,9.03,291.663517597377
2005.0095890411,1,5.96,107.604016200974
2005.08630136986,2,5.21,79.5703382959834
2005.16849315068,3,6.5,203.031788463417
2005.25890410959,4,4.93,266.744692792941
2006.0095890411,1,5.06,109.303026983095
2006.08630136986,2,6.08,125.726797876927
2006.19863013699,3,5.99,223.419917848864
2006.23698630137,3,6.64,148.663443435556
2006.27534246575,4,12.1,628.633989384637
2007.00684931507,1,8.72,258.815975809711
2007.08630136986,2,11.1,127.708977122735
2007.17945205479,3,5.73,237.578341033203
2007.25890410959,4,9.18,829.683598602246
2008.09699453552,2,6.39,169.051572821004
2008.17076502732,3,2.58,314.316994692319
2008.25,4,4.46,645.624097205844
